Satellite,Date,Location,NDVI,SMI
Sentinel-2,01/10/22,Palakkad,24.29115915,28.45134306
Landsat,01/04/19,Anantapur,99.42370081,198.8769789
SMAP,01/06/24,Koppal,72.55815935,147.4801369
SMAP,01/07/19,Idukki,129.7697141,242.3141437
Sentinel-2,01/05/20,Anantapur,79.54541302,165.3403583
SMAP,01/02/23,Chitradurga,70.34905958,141.7549629
MODIS,01/02/24,Dharmapuri,21.80237436,22.21076822
Landsat,01/08/21,Anantapur,59.36171269,114.8179069
AMSR-E,01/11/22,Kurnool,52.75248384,99.6109457
MODIS,01/08/22,Raichur,130.8012006,254.9968746
AMSR-E,01/05/21,Vijayapura,85.56888556,177.7449558
Landsat,01/08/23,Vijayapura,50.40686941,93.66899371
Landsat,01/03/21,Mahbubnagar,88.45835209,182.1934361
SMAP,01/07/19,Anantapur,62.13386202,122.7370574
AMSR-E,01/07/21,Palakkad,151.1485777,254.9913461
Sentinel-2,01/01/23,Dharmapuri,61.72551823,121.4449525
Landsat,01/02/24,Chitradurga,16.76771188,11.44156313
MODIS,01/04/23,Anantapur,25.50519657,31.71338463
Sentinel-2,01/10/19,Vijayapura,13.84845233,12.34488153
MODIS,01/03/20,Vijayapura,90.28766179,190.9700823
AMSR-E,01/06/23,Kurnool,23.98017383,28.61959195
AMSR-E,01/11/21,Idukki,128.715868,254.9965854
Landsat,01/06/22,Vijayapura,47.2019136,93.6233387
Sentinel-2,01/02/24,Koppal,26.73463488,53.58543277
Sentinel-2,01/03/19,Idukki,46.69458246,88.98183179
Landsat,01/11/21,Kurnool,52.61898065,99.44734025
SMAP,01/08/23,Koppal,36.56521511,59.15099311
MODIS,01/12/19,Koppal,24.33999729,28.43103528
SMAP,01/04/23,Kadapa,23.4740057,27.0623796
AMSR-E,01/06/24,Chitradurga,69.27594948,140.8622489
Sentinel-2,01/04/20,Idukki,67.6132946,134.9564652
MODIS,01/10/21,Palakkad,134.2283413,252.9625063
Sentinel-2,01/11/19,Palakkad,31.84282875,47.41136718
AMSR-E,01/08/23,Anantapur,25.08013511,30.24146032
Sentinel-2,01/07/23,Sivaganga,46.56665516,83.79866934
Landsat,01/12/24,Raichur,132.3533971,254.9971044
AMSR-E,01/11/22,Dharmapuri,19.17858624,17.83075237
MODIS,01/06/19,Vijayapura,19.22088623,16.53317022
Sentinel-2,01/12/19,Kadapa,8.985807896,0.368981361
Landsat,01/03/21,Chitradurga,130.7439158,254.9788702
Landsat,01/08/22,Idukki,45.30792904,80.96130204
MODIS,01/08/20,Idukki,152.6013205,251.7059581
SMAP,01/02/23,Mahbubnagar,9.050707579,0.831854343
MODIS,01/05/22,Raichur,50.03586078,92.86768389
AMSR-E,01/07/21,Chitradurga,12.99974084,4.567025661
SMAP,01/09/22,Sivaganga,93.3364799,199.048558
SMAP,01/01/21,Vijayapura,26.47850084,33.86102748
MODIS,01/02/19,Raichur,22.43648744,46.34245133
MODIS,01/09/21,Ramanathapuram,64.21013093,128.0316978
MODIS,01/02/24,Kadapa,7.423508883,0.099629402
MODIS,01/03/23,Palakkad,77.00816417,159.6975627
SMAP,01/01/23,Sivaganga,126.9200249,254.9583974
Landsat,01/07/20,Koppal,56.93147945,109.0949318
MODIS,01/07/22,Koppal,74.81686687,153.7074192
MODIS,01/10/21,Mahbubnagar,31.5560832,46.69713306
Sentinel-2,01/07/24,Mahbubnagar,108.8028333,233.8580067
AMSR-E,01/04/21,Raichur,16.6666081,11.63757682
AMSR-E,01/03/23,Idukki,34.45902753,53.65703416
Landsat,01/01/24,Idukki,37.47184467,61.23532438
Landsat,01/02/23,Sivaganga,88.2224052,186.4257441
SMAP,01/12/20,Chitradurga,101.9846206,216.269984
Sentinel-2,01/11/22,Anantapur,14.11267138,6.026083231
AMSR-E,01/07/22,Dharmapuri,140.9960871,250.6913588
AMSR-E,01/01/19,Palakkad,91.83687305,190.0659921
Sentinel-2,01/03/20,Vijayapura,90.28766179,190.9700823
SMAP,01/12/19,Raichur,89.95276356,191.965168
MODIS,01/10/19,Vijayapura,13.84845233,12.34488153
MODIS,01/01/24,Palakkad,82.00939202,172.78509
AMSR-E,01/12/23,Kadapa,66.0219276,132.6946549
Landsat,01/03/19,Ramanathapuram,32.63778162,49.31942725
Sentinel-2,01/06/21,Mahbubnagar,29.08099818,40.35198808
MODIS,01/11/24,Mahbubnagar,46.36385751,83.67265487
MODIS,01/07/20,Kurnool,62.71714926,122.7826922
MODIS,01/04/20,Palakkad,31.718817,47.05117369
Landsat,01/09/22,Raichur,135.994344,254.9525726
MODIS,01/12/22,Sivaganga,67.63032389,136.6622431
Sentinel-2,01/07/22,Kadapa,92.59270048,194.9354601
Landsat,01/09/21,Chitradurga,67.61306667,136.7045133
Landsat,01/10/22,Vijayapura,78.75386977,164.1547065
MODIS,01/09/21,Palakkad,66.73688936,134.5757141
MODIS,01/05/19,Ramanathapuram,18.50662518,34.43100095
Landsat,01/10/24,Kadapa,155.0838571,242.187619
SMAP,01/07/21,Idukki,14.55517101,6.518397808
SMAP,01/08/23,Mahbubnagar,97.63313246,209.3815174
AMSR-E,01/07/24,Kurnool,97.28518319,209.700387
Sentinel-2,01/08/19,Palakkad,156.804271,249.1655207
Sentinel-2,01/06/19,Vijayapura,19.22088623,16.53317022
Landsat,01/12/23,Koppal,28.26101971,37.90616608
MODIS,01/12/21,Koppal,77.10478497,157.0844212
Sentinel-2,01/07/19,Kurnool,44.92349696,80.05923033
AMSR-E,01/02/21,Sivaganga,81.24981904,168.7077525
Sentinel-2,01/09/22,Palakkad,66.00326991,132.6894889
Landsat,01/08/24,Mahbubnagar,156.5477741,246.6593075
SMAP,01/12/20,Mahbubnagar,80.9309485,168.5129657
AMSR-E,01/04/23,Ramanathapuram,20.8545258,19.63676262
SMAP,01/03/20,Anantapur,101.1386223,207.0889459
SMAP,01/03/22,Dharmapuri,25.82237792,32.35979676
Sentinel-2,01/07/24,Chitradurga,133.5824382,254.6569896
MODIS,01/10/21,Chitradurga,130.2675302,254.9981761
SMAP,01/03/22,Kadapa,11.33713865,1.636404753
Sentinel-2,01/03/21,Idukki,75.2936914,154.8161793
MODIS,01/10/21,Kurnool,34.36360788,53.50797153
AMSR-E,01/09/21,Raichur,122.9711936,250.5006719
AMSR-E,01/10/24,Koppal,61.1503408,120.7530689
AMSR-E,01/11/19,Idukki,45.67899156,81.85518122
Sentinel-2,01/04/23,Palakkad,43.44311047,76.43778944
AMSR-E,01/10/19,Anantapur,21.76872087,26.054672
Sentinel-2,01/01/19,Anantapur,91.47629189,190.2872243
MODIS,01/10/21,Anantapur,50.11977053,92.96024585
Landsat,01/04/22,Raichur,8.418182135,14.52870345
AMSR-E,01/07/20,Kadapa,58.00481772,109.5448327
MODIS,01/01/23,Dharmapuri,61.72551823,121.4449525
SMAP,01/08/23,Chitradurga,116.7226377,250.9181061
Landsat,01/09/21,Mahbubnagar,64.3439579,128.3635478
Sentinel-2,01/03/24,Sivaganga,23.82581162,27.19824862
AMSR-E,01/12/24,Sivaganga,132.8586257,249.0577192
Sentinel-2,01/02/24,Dharmapuri,21.80237436,22.21076822
AMSR-E,01/09/23,Dharmapuri,56.89394498,107.2451973
Landsat,01/04/21,Dharmapuri,106.4402332,215.872216
Sentinel-2,01/12/21,Kadapa,129.9777355,254.9667385
Landsat,01/03/19,Raichur,18.76811266,39.16523385
MODIS,01/11/24,Chitradurga,22.88733697,24.82815266
Sentinel-2,01/06/21,Chitradurga,35.58860874,56.64700127
MODIS,01/02/19,Sivaganga,29.8283093,42.22875452
SMAP,01/12/22,Idukki,65.71648622,131.9047518
SMAP,01/02/23,Raichur,8.089664698,0.208898783
MODIS,01/03/23,Sivaganga,97.66019773,211.6335754
Landsat,01/07/19,Idukki,129.7697141,242.3141437
Landsat,01/06/24,Koppal,72.55815935,147.4801369
MODIS,01/06/21,Kurnool,109.8958409,240.5886338
MODIS,01/04/21,Palakkad,50.32859468,93.51542425
Sentinel-2,01/11/22,Koppal,16.43190789,11.43354964
Sentinel-2,01/05/19,Palakkad,50.31939626,93.2336657
MODIS,01/10/24,Mahbubnagar,13.29124856,3.881085396
Sentinel-2,01/07/21,Mahbubnagar,48.7118423,89.15389156
SMAP,01/09/19,Raichur,46.69078469,84.57127237
Landsat,01/08/21,Chitradurga,55.87340474,107.2205682
Sentinel-2,01/09/22,Dharmapuri,20.15368438,18.25534368
AMSR-E,01/04/23,Koppal,30.72147202,63.6768837
AMSR-E,01/08/23,Kadapa,104.4459333,193.6079159
MODIS,01/05/20,Vijayapura,73.19701767,150.4592824
SMAP,01/09/23,Mahbubnagar,7.994212389,0.715306282
Sentinel-2,01/11/19,Kurnool,53.0696876,100.0953224
Landsat,01/08/23,Raichur,45.65301394,81.50600767
MODIS,01/09/20,Palakkad,216.058964,254.9751697
MODIS,01/10/20,Ramanathapuram,128.8950059,245.8797128
AMSR-E,01/11/23,Anantapur,33.92993593,52.36479783
AMSR-E,01/05/20,Raichur,62.387887,123.1661232
SMAP,01/07/21,Vijayapura,23.3507688,26.00652027
SMAP,01/08/24,Dharmapuri,140.7002983,253.1052129
Landsat,01/06/19,Ramanathapuram,14.52608633,30.31433296
Sentinel-2,01/06/24,Mahbubnagar,25.70079446,33.38714695
MODIS,01/11/21,Mahbubnagar,32.01887679,47.78021622
Landsat,01/09/24,Chitradurga,91.44676971,193.0639272
SMAP,01/10/22,Sivaganga,16.76328444,9.703819513
AMSR-E,01/08/19,Vijayapura,73.23319578,149.0039864
MODIS,01/05/24,Raichur,32.98184657,50.27722955
MODIS,01/11/22,Kadapa,55.20169902,105.6725876
Landsat,01/11/20,Kadapa,46.54970074,83.95782876
Landsat,01/12/22,Mahbubnagar,33.96554255,52.54336596
Landsat,01/12/22,Raichur,132.055614,254.99259
SMAP,01/08/22,Idukki,45.30792904,80.96130204
SMAP,01/09/23,Chitradurga,69.2937789,140.9248397
MODIS,01/11/23,Dharmapuri,19.73205733,17.96543169
SMAP,01/04/19,Raichur,86.62464976,182.0787466
SMAP,01/05/21,Ramanathapuram,12.8973043,7.887111187
Sentinel-2,01/12/24,Dharmapuri,88.59952402,189.0781424
SMAP,01/02/24,Anantapur,11.20074534,2.301413774
Landsat,01/05/23,Raichur,60.9392066,119.1347172
Sentinel-2,01/04/21,Koppal,42.41246223,88.84988928
Sentinel-2,01/08/21,Kadapa,26.08345509,32.93839288
Landsat,01/08/21,Mahbubnagar,130.029129,242.8879328
SMAP,01/03/22,Raichur,94.28000021,197.0203166
Sentinel-2,01/07/21,Chitradurga,12.99974084,4.567025661
MODIS,01/10/24,Chitradurga,91.44676971,193.0639272
MODIS,01/01/20,Anantapur,85.56263757,175.8128667
Sentinel-2,01/12/24,Ramanathapuram,137.9011688,249.0789065
AMSR-E,01/01/23,Ramanathapuram,9.663734198,2.182288408
Sentinel-2,01/12/24,Palakkad,129.7656443,254.9969406
AMSR-E,01/12/21,Raichur,3.08265543,6.171881676
Landsat,01/01/24,Anantapur,74.87617517,154.6521783
SMAP,01/09/20,Vijayapura,160.1831942,254.0902994
AMSR-E,01/11/20,Koppal,58.12496042,112.916096
AMSR-E,01/06/24,Kadapa,31.22308016,45.79908919
SMAP,01/12/21,Anantapur,64.29563284,128.3053231
Sentinel-2,01/07/23,Dharmapuri,44.59908032,79.34950519
AMSR-E,01/11/24,Kurnool,37.81949592,62.04519153
SMAP,01/12/24,Ramanathapuram,137.9011688,249.0789065
MODIS,01/08/24,Raichur,146.245266,236.7866511
Landsat,01/12/22,Chitradurga,68.38715076,138.0722015
AMSR-E,01/03/21,Vijayapura,82.49994898,171.8899388
Landsat,01/03/19,Sivaganga,88.21962905,179.4700081
MODIS,01/04/24,Dharmapuri,59.95211649,116.9592631
Landsat,01/09/24,Mahbubnagar,68.38321233,137.802135
Sentinel-2,01/09/23,Palakkad,47.324476,85.92111063
MODIS,01/11/21,Chitradurga,97.32087183,210.5826406
Sentinel-2,01/06/24,Chitradurga,69.27594948,140.8622489
Landsat,01/11/21,Anantapur,16.42647982,10.11293268
Sentinel-2,01/05/21,Ramanathapuram,12.8973043,7.887111187
MODIS,01/11/20,Kurnool,39.29972267,65.99336267
Sentinel-2,01/02/20,Sivaganga,129.8619282,254.9893458
AMSR-E,01/08/20,Raichur,11.50580335,2.638569593
Sentinel-2,01/04/22,Palakkad,53.89721465,102.428622
Landsat,01/08/23,Koppal,36.56521511,59.15099311
MODIS,01/08/21,Koppal,124.603596,254.7323065
Sentinel-2,01/01/23,Kurnool,101.4502063,210.466506
MODIS,01/04/21,Kadapa,78.7471149,163.2853839
Landsat,01/04/23,Kadapa,23.4740057,27.0623796
AMSR-E,01/05/21,Anantapur,56.48174357,108.8255162
Landsat,01/07/20,Sivaganga,45.2382791,80.65101123
SMAP,01/09/19,Ramanathapuram,17.46008444,17.02689981
Landsat,01/05/22,Ramanathapuram,38.28434372,64.31144929
SMAP,01/05/22,Dharmapuri,89.09511471,185.1059325
MODIS,01/01/22,Mahbubnagar,49.68156385,91.86527276
Landsat,01/07/21,Kurnool,58.95298791,114.786108
MODIS,01/07/24,Sivaganga,12.97966647,3.059156179
Sentinel-2,01/10/23,Palakkad,125.361043,254.6437964
AMSR-E,01/06/21,Mahbubnagar,29.08099818,40.35198808
SMAP,01/01/20,Kurnool,67.83900213,137.2330287
AMSR-E,01/02/24,Palakkad,82.54434061,172.2231739
Landsat,01/07/21,Idukki,14.55517101,6.518397808
MODIS,01/12/24,Dharmapuri,88.59952402,189.0781424
SMAP,01/10/24,Kadapa,155.0838571,242.187619
MODIS,01/07/23,Idukki,23.2177155,25.76513147
SMAP,01/03/23,Chitradurga,8.635423422,0.627804756
AMSR-E,01/10/23,Kurnool,131.2210219,254.997704
SMAP,01/04/20,Sivaganga,59.09334731,115.3450966
MODIS,01/09/23,Raichur,12.43568945,3.329697371
Sentinel-2,01/11/23,Dharmapuri,19.73205733,17.96543169
AMSR-E,01/07/20,Palakkad,166.1891749,253.4177921
AMSR-E,01/03/22,Koppal,27.89763927,55.98666954
Sentinel-2,01/06/19,Sivaganga,49.86653924,92.20166898
AMSR-E,01/09/19,Anantapur,57.16017056,110.5703838
MODIS,01/03/22,Ramanathapuram,35.0424602,55.07446599
Landsat,01/02/21,Mahbubnagar,54.34376907,103.8167629
MODIS,01/09/21,Anantapur,51.81563735,97.21974063
Sentinel-2,01/04/24,Anantapur,99.2340858,201.4772468
Sentinel-2,01/03/21,Palakkad,73.43279386,150.9617624
AMSR-E,01/07/24,Mahbubnagar,108.8028333,233.8580067
SMAP,01/07/20,Koppal,56.93147945,109.0949318
MODIS,01/02/19,Palakkad,79.49200988,162.3185532
Sentinel-2,01/09/19,Ramanathapuram,17.46008444,17.02689981
Sentinel-2,01/04/24,Dharmapuri,59.95211649,116.9592631
Landsat,01/02/21,Dharmapuri,8.561873436,0.334105492
MODIS,01/07/23,Dharmapuri,44.59908032,79.34950519
SMAP,01/01/24,Idukki,37.47184467,61.23532438
Sentinel-2,01/03/21,Raichur,28.55590868,39.11271
Landsat,01/04/24,Raichur,0.303985119,0.439884663
Landsat,01/03/24,Mahbubnagar,93.54305553,190.7944086
MODIS,01/05/19,Anantapur,60.24478364,118.2114735
Sentinel-2,01/05/20,Vijayapura,73.19701767,150.4592824
Landsat,01/02/21,Chitradurga,54.9120214,105.1031127
AMSR-E,01/01/22,Dharmapuri,69.34399366,139.8711596
MODIS,01/04/23,Raichur,0.430774927,0.649624586
SMAP,01/06/23,Anantapur,17.65870929,13.09255147
Sentinel-2,01/03/20,Koppal,27.25242615,35.78931785
SMAP,01/03/23,Mahbubnagar,81.83251595,168.5690529
MODIS,01/09/22,Dharmapuri,20.15368438,18.25534368
AMSR-E,01/07/22,Sivaganga,31.01294088,45.24562383
SMAP,01/11/21,Vijayapura,16.74229002,11.07646632
Sentinel-2,01/08/22,Anantapur,45.3155396,81.03009319
AMSR-E,01/12/21,Ramanathapuram,18.01704097,12.48359799
AMSR-E,01/06/21,Chitradurga,35.58860874,56.64700127
MODIS,01/01/22,Chitradurga,50.37098384,93.17716861
Landsat,01/12/22,Idukki,65.71648622,131.9047518
MODIS,01/12/20,Idukki,66.38529301,133.0883179
Landsat,01/05/23,Anantapur,57.54022646,110.4146969
Sentinel-2,01/08/19,Kadapa,158.3994386,244.0612118
MODIS,01/03/22,Palakkad,13.05498838,3.683761835
Sentinel-2,01/05/24,Idukki,70.28284454,142.9779339
Sentinel-2,01/04/19,Koppal,44.12026072,77.98817801
Landsat,01/03/24,Chitradurga,16.36713696,10.18491149
Landsat,01/09/19,Dharmapuri,23.03625011,25.25425744
AMSR-E,01/07/22,Kurnool,24.81102562,30.36263442
SMAP,01/12/23,Koppal,28.26101971,37.90616608
MODIS,01/04/19,Kadapa,98.55168176,205.3810289
MODIS,01/08/19,Koppal,77.94825363,159.4500282
MODIS,01/09/24,Idukki,83.71404719,176.9590662
Landsat,01/09/24,Raichur,39.9793849,67.52049708
AMSR-E,01/07/24,Chitradurga,133.5824382,254.6569896
AMSR-E,01/05/24,Ramanathapuram,62.04261613,122.7080932
MODIS,01/10/20,Palakkad,64.58643866,129.1483004
Landsat,01/10/20,Kurnool,46.94744539,85.08286452
Landsat,01/03/22,Kadapa,11.33713865,1.636404753
MODIS,01/03/20,Kadapa,34.98271012,54.92661715
Sentinel-2,01/08/23,Palakkad,37.67001009,61.79388332
AMSR-E,01/12/21,Palakkad,134.8962946,243.0574484
SMAP,01/05/19,Sivaganga,57.30785418,110.3073432
Landsat,01/11/23,Ramanathapuram,11.98858523,3.694566727
MODIS,01/04/24,Kadapa,87.31318092,182.0847921
MODIS,01/09/19,Idukki,147.3516648,254.9027588
MODIS,01/08/24,Koppal,60.3021462,117.8166351
AMSR-E,01/01/24,Kurnool,20.62966609,20.82065415
MODIS,01/10/23,Vijayapura,114.9323471,242.7101645
AMSR-E,01/08/20,Anantapur,23.29605484,25.96087098
Sentinel-2,01/07/20,Sivaganga,45.2382791,80.65101123
Sentinel-2,01/11/23,Kurnool,49.51152968,91.48293352
Landsat,01/08/19,Raichur,82.24547338,172.7183173
Landsat,01/06/19,Sivaganga,49.86653924,92.20166898
SMAP,01/08/20,Dharmapuri,12.98310518,3.720236301
Landsat,01/10/20,Mahbubnagar,157.5256879,254.7113936
Sentinel-2,01/05/22,Palakkad,57.34999609,111.0534172
AMSR-E,01/06/21,Kadapa,8.573401213,0.670560122
SMAP,01/09/21,Sivaganga,52.77565169,99.69042659
MODIS,01/01/20,Kurnool,67.83900213,137.2330287
MODIS,01/06/19,Mahbubnagar,75.14595246,155.0689285
SMAP,01/11/22,Chitradurga,9.463890791,0.849059343
SMAP,01/09/23,Raichur,12.43568945,3.329697371
Landsat,01/04/24,Anantapur,99.2340858,201.4772468
Sentinel-2,01/02/20,Idukki,41.20557833,80.50947642
Sentinel-2,01/05/23,Mahbubnagar,17.61436629,12.21519923
AMSR-E,01/01/23,Palakkad,34.20009947,53.15010309
MODIS,01/05/24,Vijayapura,10.13434434,1.22630167
MODIS,01/09/20,Chitradurga,46.69808531,83.25112867
AMSR-E,01/02/21,Dharmapuri,8.561873436,0.334105492
MODIS,01/04/20,Anantapur,42.71564412,74.55785847
Sentinel-2,01/06/23,Vijayapura,18.94985843,25.93624783
SMAP,01/02/23,Kadapa,8.055768728,0.235598803
SMAP,01/07/24,Anantapur,45.56922054,80.99760151
Sentinel-2,01/08/24,Kadapa,130.8312094,221.0256386
Sentinel-2,01/04/24,Koppal,15.4581387,8.475963593
Sentinel-2,01/05/19,Idukki,65.60831928,131.6101432
AMSR-E,01/02/21,Raichur,99.75217485,205.8088276
Sentinel-2,01/10/19,Mahbubnagar,47.81210876,87.11730218
SMAP,01/12/22,Vijayapura,57.72567248,111.9747851
AMSR-E,01/09/23,Ramanathapuram,9.896576405,19.8862946
Landsat,01/05/19,Raichur,73.07193518,146.4634848
SMAP,01/06/20,Idukki,61.32763243,120.7758908
MODIS,01/06/19,Chitradurga,45.81946731,81.86425185
SMAP,01/11/22,Mahbubnagar,14.74886227,7.697555542
Landsat,01/10/20,Chitradurga,50.47946477,93.19934678
SMAP,01/02/22,Ramanathapuram,8.18789053,1.142046452
Sentinel-2,01/06/23,Kadapa,46.95953012,84.93943644
SMAP,01/04/23,Raichur,0.430774927,0.649624586
Landsat,01/02/22,Raichur,79.49587369,164.7093017
SMAP,01/01/19,Idukki,64.97639632,130.0667167
MODIS,01/04/20,Dharmapuri,12.29575276,3.575139046
MODIS,01/08/19,Ramanathapuram,44.41495132,78.37273908
Landsat,01/08/22,Anantapur,45.3155396,81.03009319
AMSR-E,01/06/20,Ramanathapuram,13.18624949,2.653185844
Sentinel-2,01/08/22,Vijayapura,81.85703897,167.3768532
Sentinel-2,01/05/23,Anantapur,57.54022646,110.4146969
Landsat,01/01/22,Dharmapuri,69.34399366,139.8711596
Sentinel-2,01/04/19,Palakkad,20.6130867,19.3038249
SMAP,01/09/24,Vijayapura,25.62685418,31.7440784
Sentinel-2,01/06/22,Kurnool,30.95110917,45.02150464
Sentinel-2,01/10/19,Chitradurga,67.57702899,135.6779675
SMAP,01/06/21,Dharmapuri,12.57214403,2.861569166
MODIS,01/05/21,Palakkad,46.54397035,83.82808042
Sentinel-2,01/01/19,Kurnool,107.4274156,214.8330464
MODIS,01/08/20,Palakkad,99.5186789,214.1133487
Sentinel-2,01/12/20,Dharmapuri,19.57590699,16.82787228
AMSR-E,01/02/22,Idukki,6.073626757,0.312055588
MODIS,01/09/20,Mahbubnagar,129.4707768,254.9903333
MODIS,01/01/19,Dharmapuri,68.61844492,138.0804212
MODIS,01/06/23,Sivaganga,87.10464787,182.0690637
Sentinel-2,01/02/22,Ramanathapuram,8.18789053,1.142046452
AMSR-E,01/09/19,Dharmapuri,23.03625011,25.25425744
SMAP,01/10/19,Kadapa,18.77373147,14.77686977
Sentinel-2,01/05/23,Chitradurga,65.9657855,130.364188
Landsat,01/06/21,Koppal,19.6360352,36.98179102
MODIS,01/06/23,Koppal,51.11616516,95.51242685
MODIS,01/08/22,Vijayapura,81.85703897,167.3768532
Landsat,01/02/21,Ramanathapuram,18.71419835,14.29598379
MODIS,01/10/22,Anantapur,28.16966224,38.13959289
AMSR-E,01/06/19,Kadapa,51.60659218,96.72900128
SMAP,01/06/21,Kurnool,109.8958409,240.5886338
Sentinel-2,01/04/20,Dharmapuri,12.29575276,3.575139046
Landsat,01/09/23,Idukki,12.5571022,4.080272436
MODIS,01/11/20,Palakkad,22.38406539,23.75789952
MODIS,01/09/21,Idukki,128.2126942,254.9949803
MODIS,01/04/21,Ramanathapuram,13.8933382,29.17869425
AMSR-E,01/01/20,Kadapa,69.0742979,140.3273973
AMSR-E,01/10/19,Kurnool,52.60166311,99.15659094
MODIS,01/09/19,Raichur,46.69078469,84.57127237
SMAP,01/10/21,Dharmapuri,54.93811584,104.2588828
AMSR-E,01/04/23,Mahbubnagar,13.54542255,5.095268965
Sentinel-2,01/05/21,Idukki,115.1026988,252.8873467
Sentinel-2,01/04/20,Raichur,16.18503809,9.7028265
MODIS,01/03/20,Mahbubnagar,24.31910849,28.36370969
Landsat,01/08/19,Vijayapura,73.23319578,149.0039864
AMSR-E,01/02/22,Sivaganga,46.08258653,82.91900206
Sentinel-2,01/01/19,Dharmapuri,68.61844492,138.0804212
SMAP,01/09/22,Koppal,107.8485639,233.4921625
SMAP,01/05/22,Kadapa,124.68609,238.937052
MODIS,01/12/20,Dharmapuri,19.57590699,16.82787228
AMSR-E,01/10/20,Idukki,50.06579542,92.78132892
MODIS,01/02/22,Palakkad,77.14154768,159.9419415
AMSR-E,01/11/19,Mahbubnagar,92.82506752,198.1092975
SMAP,01/03/23,Anantapur,81.07770443,168.3139594
SMAP,01/01/21,Chitradurga,144.6415615,254.9971855
SMAP,01/05/24,Raichur,32.98184657,50.27722955
MODIS,01/03/19,Palakkad,100.2160556,204.3156569
SMAP,01/01/21,Idukki,127.6487305,253.2854247
Sentinel-2,01/02/21,Palakkad,101.8234282,207.0945935
SMAP,01/04/22,Vijayapura,105.7508979,214.7690437
MODIS,01/04/19,Raichur,86.62464976,182.0787466
Sentinel-2,01/01/22,Kadapa,68.2180562,137.5768268
SMAP,01/11/20,Ramanathapuram,52.30966401,98.34092045
Sentinel-2,01/01/24,Anantapur,74.87617517,154.6521783
AMSR-E,01/10/24,Anantapur,44.99543476,79.95588064
Sentinel-2,01/10/23,Vijayapura,114.9323471,242.7101645
MODIS,01/03/22,Raichur,94.28000021,197.0203166
Sentinel-2,01/01/19,Ramanathapuram,9.480122805,0.955366611
MODIS,01/12/21,Sivaganga,65.58623958,131.667655
AMSR-E,01/12/19,Sivaganga,68.08921432,137.8585923
SMAP,01/01/21,Mahbubnagar,64.42699575,128.8877845
Sentinel-2,01/03/19,Sivaganga,88.21962905,179.4700081
Sentinel-2,01/10/24,Kurnool,104.179934,223.0199339
Sentinel-2,01/11/23,Palakkad,50.94422054,95.095752
AMSR-E,01/11/19,Chitradurga,126.7774615,254.9896722
Sentinel-2,01/10/22,Idukki,11.03828406,1.019890547
SMAP,01/10/21,Kadapa,47.0613966,84.38659668
Landsat,01/06/19,Koppal,103.9387717,203.2519135
Landsat,01/07/24,Idukki,52.46714973,98.97059894
SMAP,01/01/20,Sivaganga,129.3692846,254.9848526
SMAP,01/01/19,Ramanathapuram,9.480122805,0.955366611
SMAP,01/08/24,Raichur,146.245266,236.7866511
Sentinel-2,01/09/20,Raichur,17.39653659,12.98533034
AMSR-E,01/05/23,Idukki,33.97363758,52.51445413
AMSR-E,01/06/20,Palakkad,49.70097041,92.01550126
MODIS,01/02/24,Sivaganga,6.445739985,0.106356859
MODIS,01/06/23,Vijayapura,18.94985843,25.93624783
Sentinel-2,01/11/20,Ramanathapuram,52.30966401,98.34092045
Sentinel-2,01/11/21,Anantapur,16.42647982,10.11293268
MODIS,01/03/20,Chitradurga,11.7689333,2.571642399
AMSR-E,01/04/23,Chitradurga,57.90771627,112.3891339
Landsat,01/03/21,Vijayapura,82.49994898,171.8899388
Landsat,01/02/20,Sivaganga,129.8619282,254.9893458
SMAP,01/11/20,Kurnool,39.29972267,65.99336267
Sentinel-2,01/05/24,Vijayapura,10.13434434,1.22630167
MODIS,01/01/22,Koppal,44.20556474,78.04183316
AMSR-E,01/03/24,Palakkad,72.28708196,146.8569443
Landsat,01/01/20,Koppal,14.23834205,4.500098944
MODIS,01/01/22,Sivaganga,71.70142937,146.6204581
MODIS,01/01/22,Palakkad,35.22810197,55.60446024
Landsat,01/04/23,Ramanathapuram,20.8545258,19.63676262
Sentinel-2,01/08/19,Vijayapura,73.23319578,149.0039864
MODIS,01/10/21,Idukki,55.54644394,105.3338151
Landsat,01/10/23,Idukki,159.6972821,254.809335
Landsat,01/01/19,Dharmapuri,68.61844492,138.0804212
AMSR-E,01/12/24,Idukki,5.88757062,0.391181946
Sentinel-2,01/02/21,Kurnool,76.5060544,157.7803073
Landsat,01/05/24,Kurnool,22.67809081,25.36414194
SMAP,01/03/23,Dharmapuri,70.03488159,142.3349848
Sentinel-2,01/01/21,Koppal,133.8412042,254.9960661
MODIS,01/12/22,Kurnool,32.21917343,48.26376438
MODIS,01/02/23,Ramanathapuram,41.73796391,71.40032744
Sentinel-2,01/01/24,Raichur,0.356321573,0.527073145
Landsat,01/06/21,Raichur,68.52260733,138.8342862
Landsat,01/11/23,Sivaganga,84.82550502,179.5141323
MODIS,01/01/22,Dharmapuri,69.34399366,139.8711596
MODIS,01/01/21,Kadapa,31.75205731,47.15483093
Sentinel-2,01/02/22,Anantapur,11.52152538,1.954964638
Landsat,01/01/23,Kadapa,68.69736218,139.0819817
MODIS,01/12/20,Palakkad,67.57437587,136.5902236
AMSR-E,01/11/22,Mahbubnagar,14.74886227,7.697555542
Landsat,01/04/20,Dharmapuri,12.29575276,3.575139046
